title,details_url,location,price_text,property_type_text,area_text,construction_type,year_text,floor_text,description,agency_name,ref_no,num_photos,price_per_m2,total_offers,offer_type,search_url,scraped_at
Тристаен апартамент 80 кв.м Панел 6 етаж,/tristaen-apartament-80-kv-m-panel-6-etaj-10489970,"Изток, София",Цена:297 000 €(580 881.50 лв.),Тристаен апартамент в Изток,80 кв.м,Панел,,6 етаж,Оф. 26496. Тристаен апартамент на входа на парк Тинтява в кв. Изток! Апартментът е след основен ремонт -2 спални хол баня с тоалента 2-ра тоалента кухня с трапезария (гардеробно) помещение тераса мазе..,преди 24 дни,10489970,0,3712.5,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:08.398860
Многостаен апартамент 112 кв.м Тухла 3 етаж,/mnogostaen-apartament-112-kv-m-tuhla-3-etaj-9994222,"Медицинска академия, София",Цена:349 000 €(682 584.67 лв.),Многостаен апартамент в Медицинска академия,112 кв.м,Тухла,,3 етаж,Оф. 25966. Светло и просторно жилище на 3 -ти етаж от 5 на тиха уличка- ул. Добрила в непосредствена близост до Медицинска академия. Сграда старо строителство от 1968г. без асансьор. Разпределение: вх..,преди 24 дни,9994222,0,3116.07,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:08.402623
Двустаен апартамент 60 кв.м Тухла 6 етаж,/dvustaen-apartament-60-kv-m-tuhla-6-etaj-10490031,"Медицинска академия, София",Цена:239 000 €(467 443.37 лв.),Двустаен апартамент в Медицинска академия,60 кв.м,Тухла,,6 етаж,Оф. 26359. Двустаен апартамент на ул. Софийски герой. Тухла от 1985г. Жилището е с южно изложение и се състои от: входно антре хол с кухненски бокс и тераса спалня баня с тоалетна. След основен ремонт..,преди 24 дни,10490031,0,3983.33,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:08.406385
Многостаен апартамент 118 кв.м Тухла 4 етаж,/mnogostaen-apartament-118-kv-m-tuhla-4-etaj-9817918,"Оборище, София",Цена:435 000 €(850 786.05 лв.),Многостаен апартамент в Оборище,118 кв.м,Тухла,,4 етаж,Оф. 25691. Жилището е с просторни и светли помещения в поддържана тухлена сграда. На пешеходно разстояние до МОЛ Сердика Испанска гимназия Военен музей парк Заимов и Докторска градина. Намира се на ул..,преди 24 дни,9817918,0,3686.44,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:08.410154
Двустаен апартамент 78 кв.м ЕПК/ПК 15 етаж,/dvustaen-apartament-78-kv-m-epk-pk-15-etaj-9817931,"Оборище, София",Цена:259 900 €(508 320.22 лв.),Двустаен апартамент в Оборище,78 кв.м,ЕПК/ПК,,15 етаж,Оф. 25716. Просторен апартамент на ул. Искър до СМГ парк Заимов. Разпределение: антре просторен хол с кухненски бокс голяма спалня два балкона като единия е усвоен баня с тоалетна. Апартамента е след ..,преди 24 дни,9817931,0,3332.05,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:08.413908
Двустаен апартамент 65 кв.м Панел 7 етаж,/dvustaen-apartament-65-kv-m-panel-7-etaj-10489957,"Оборище, София",Цена:198 600 €(388 427.84 лв.),Двустаен апартамент в Оборище,65 кв.м,Панел,,7 етаж,Оф. 26462. Двустаен непреходен 65 кв.м. (реални) панел ет.7 8 с асаньор в карето между бул. Мадрид бул. Ситняково ул. Оборище и ул. Черковна. Състои се от хол спалня самоятоятелна кухня баня с тоалетн..,преди 24 дни,10489957,0,3055.38,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:08.417640
Тристаен апартамент 98 кв.м Тухла,/tristaen-apartament-98-kv-m-tuhla-10627350,"Оборище, София",Цена:380 000 €(743 215.40 лв.),Тристаен апартамент в Оборище,98 кв.м,Тухла,,,ОФЕРТА 26583. Тристаен апартамент на ет.2 в тухлена сграда от 1956г. на ул. Чаталджа. Състои се от две спални хол кухня отделна тоалетна баня мокро помещение килер тераса към хола. Към апартамента има..,преди 24 дни,10627350,0,3877.55,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:08.421251
Двустаен апартамент 72 кв.м Тухла 3 етаж,/dvustaen-apartament-72-kv-m-tuhla-3-etaj-10098847,"Редута, София",Цена:200 000 €(391 166 лв.),Двустаен апартамент в Редута,72 кв.м,Тухла,,3 етаж,Оф. 25856. Двустаен апартамент със статут на ателие. Прилежащо мазе. Северно изложение. Хол с кухня спалня баня с тоалетна балкон към задния двор на кооперацията. Сграда с акт 16 от 2009г. Външно парк..,преди 24 дни,10098847,0,2777.78,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:08.425003
Тристаен апартамент 95 кв.м Тухла 5 етаж,/tristaen-apartament-95-kv-m-tuhla-5-etaj-10489983,"Редута, София",Цена:299 999 €(586 747.04 лв.),Тристаен апартамент в Редута,95 кв.м,Тухла,,5 етаж,Оф. 26429. Тристаен непреходен апартамент в кв. Редута на ул. Велчо Атанасов с ЧЗП 95 кв.м. в тухлена сграда с асансьор - строителство 2007 год. - непосредствена близост до множество спирки на градски..,преди 24 дни,10489983,0,3157.88,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:08.428808
"Светъл, Просторен тристаен апартамент Дианабад",/svetal-prostoren-tristaen-apartament-dianabad-10820236,"Дианабад, София",Цена:296 000 €(578 925.68 лв.),Тристаен апартамент в Дианабад,76 кв.м,ЕПК/ПК,1980 г.,7 етаж,"Просторен, уютен и функционален тристаен апартамент с отлична локация! 

Разпределение и удобства: 
- голяма дневсна с кухненски бокс - 30 кв.м. 
-две спални 
-две тераси 
-баня с тоалетна 

В..",Имотен Център,10820236,0,3894.74,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:08.433195
"Продава 3-СТАЕН, град София, Дианабад",/prodava-3-staen-grad-sofiya-dianabad-10598547,"Дианабад, София",Цена:220 000 €(430 282.60 лв.),Тристаен апартамент в Дианабад,87 кв.м,Панел,1980 г.,4 етаж,"ул. Васил Калчев, 43 блок, 4-ти ет. от 8, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., продавам тристаен панелен апартамент за основен ремонт, под в коридор и кухня-теракот, хол-паркер в отлично състоя..",ВАНЯ,10598547,0,2528.74,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:08.437625
Тристаен апартамент на метри от парк „Заимов“ и метростанция „Театрална“,/tristaen-apartament-na-metri-ot-park-zaimov-i-metrostanciya-teatralna-10336324,"Оборище, София",Цена:259 000 €(506 559.97 лв.),Тристаен апартамент в Оборище,100 кв.м,Тухла,1941 г.,4 етаж,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в alo.bg. 

Референтен номер: Sfb 87334
Отговорен брокер: Иванка Стойкова

Тристаен а..",BULGARIAN PROPERTIES,10336324,0,2590.0,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:08.442051
"Многостаен, София, Гоце Делчев, 148 кв.м., 444930 €",/mnogostaen-sofiya-goce-delchev-148-kv-m-444930-10217940,"Гоце Делчев, София",Цена:444 930 €(870 207.44 лв.),Многостаен апартамент в Гоце Делчев,148 кв.м,Тухла,,4 етаж,"Многофамилна жилищна сграда, разположена в кв. Гоце Делчев, в близост до ключови транспортни връзки, търговски обекти и обществени услуги. Сградата е в процес на изграждане, като към момента се намира..",Адрес недвижими имоти,10217940,0,3006.28,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:08.446481
"3-стаен, София, Гоце Делчев, 109.27 кв.м., 327810 €",/3-staen-sofiya-goce-delchev-109-27-kv-m-327810-10040129,"Гоце Делчев, София",Цена:327 810 €(641 140.63 лв.),Тристаен апартамент в Гоце Делчев,109 кв.м,Тухла,,3 етаж,"Многофамилна жилищна сграда, разположена в кв. Гоце Делчев, в близост до ключови транспортни връзки, търговски обекти и обществени услуги. Сградата е в процес на изграждане, като към момента се намира..",Адрес недвижими имоти,10040129,0,3007.43,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:08.450926
"3-стаен, София, Гоце Делчев, 109.27 кв.м., 327810 €",/3-staen-sofiya-goce-delchev-109-27-kv-m-327810-10040114,"Гоце Делчев, София",Цена:327 810 €(641 140.63 лв.),Тристаен апартамент в Гоце Делчев,109 кв.м,Тухла,,2 етаж,"Многофамилна жилищна сграда, разположена в кв. Гоце Делчев, в близост до ключови транспортни връзки, търговски обекти и обществени услуги. Сградата е в процес на изграждане, като към момента се намира..",Адрес недвижими имоти,10040114,0,3007.43,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:08.455305
"3-стаен, София, Гоце Делчев, 123.59 кв.м., 370770 €",/3-staen-sofiya-goce-delchev-123-59-kv-m-370770-10070076,"Гоце Делчев, София",Цена:370 770 €(725 163.10 лв.),Тристаен апартамент в Гоце Делчев,124 кв.м,Тухла,,2 етаж,"Многофамилна жилищна сграда, разположена в кв. Гоце Делчев, в близост до ключови транспортни връзки, търговски обекти и обществени услуги. Сградата е в процес на изграждане, като към момента се намира..",Адрес недвижими имоти,10070076,0,2990.08,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:08.459645
"2-стаен, София, Гоце Делчев, 83 кв.м., 251100 €",/2-staen-sofiya-goce-delchev-83-kv-m-251100-10040113,"Гоце Делчев, София",Цена:251 100 €(491 108.90 лв.),Двустаен апартамент в Гоце Делчев,83 кв.м,Тухла,,4 етаж,"Многофамилна жилищна сграда, разположена в кв. Гоце Делчев, в близост до ключови транспортни връзки, търговски обекти и обществени услуги. Сградата е в процес на изграждане, като към момента се намира..",Адрес недвижими имоти,10040113,0,3025.3,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:08.464005
Двустаен апартамент 59 кв.м Тухла 2012 г. 6 етаж Последен етаж,/dvustaen-apartament-59-kv-m-tuhla-2012-g-6-etaj-posleden-etaj-10814248,"Дианабад, София",Цена:220 000 €(430 282.60 лв.),Двустаен апартамент в Дианабад,59 кв.м,Тухла,2012 г.,6 етаж,"ВОДЕЩ БРОКЕРКристиян Узунски - *виж контакти*Изключително светъл, стилен и напълно обзаведен двустаен апартамент, разположен на 6-ти жилищен етаж в отлично поддържана сграда с представителни общи част..",ХоумТед,10814248,0,3728.81,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:08.468387
"Двустаен Апартамент в Редута, София - Обзаведен",/dvustaen-apartament-v-reduta-sofiya-obzaveden-10770349,"Редута, София",Цена:229 000 €(447 885.07 лв.),Двустаен апартамент в Редута,62 кв.м,Тухла,2002 г.,,"Реф. № 012632

Агенция за недвижими имоти BAS Properties предлага за продажба двустаен апартамент след основен ремонт, разположен на отлично място в кв. Редута. Имотът съчетава изключителна комуника..",BASProperties,10770349,0,3693.55,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:08.472651
"Панорамен, двустаен апартамент",/panoramen-dvustaen-apartament-10762027,"Сухата река, София",Цена:156 000 €(305 109.48 лв.),Двустаен апартамент в Сухата река,62 кв.м,Тухла,1981 г.,6 етаж,"Продаваме непреходен, двустаен апартамент. 
Жилището се намира на 6-ти етаж от 8, вътрешно е и изключително топло. 
Изложенията са Югозапад/Североизток, като от всички стаи има панорамни гледки. 
Р..",Universi,10762027,0,2516.13,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:10.756540
Четиристаен Хиподрума,/chetiristaen-hipodruma-10321114,"Хиподрума, София",Цена:429 000 €(839 051.07 лв.),Многостаен апартамент в Хиподрума,165 кв.м,Тухла,2016 г.,5 етаж,"Айко имоти представя на Вашето внимание четиристаен апартамент, разположен в сграда с АКТ 16 от 2016г., в един от най-предпочитаните квартали на София кв. Хиподрума. Отлична локация, ул. ’Юнак’, пешех..",Aiko,10321114,0,2600.0,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:10.760804
"Публична продан от ЧСИ на Многостаен апартамент в гр. София бл. 14, вх. Б",/publichna-prodan-ot-chsi-na-mnogostaen-apartament-v-gr-sofiya-bl-14-vh-b-10807494,"Гоце Делчев, София",,Вид на имота: Многостаен апартамент в Гоце Делчев,148.68 кв.м,Тухла,,3 етаж,"Публична продан от частен съдебен изпълнител 

СРОК: от 29.12.2025 до 29.01.2026

Адрес: бл. 14, вх. Б

САМОСТОЯТЕЛЕН ОБЕКТ В СГРАДА С ИДЕНТИФИКАТОР 68134.1005.31.1.22 (шестдесет и осем хиляди сто три..",преди 30+ дни,10807494,0,,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:10.763501
Публична продан от ЧСИ на Мезонет в гр. София ул. Зелена поляна,/publichna-prodan-ot-chsi-na-mezonet-v-gr-sofiya-ul-zelena-polyana-10807493,"Дървеница, София",,Вид на имота: Мезонет,111.75 кв.м,Тухла,,4 етаж,"Публична продан от частен съдебен изпълнител 

СРОК: от 29.12.2025 до 29.01.2026

Адрес: ул. Зелена поляна

Недвижим имот, находящ се в МАСИВНА ЖИЛИЩНА СГРАДА с две секции „Изток“ и „Запад“ с РЗП 2134..",преди 30+ дни,10807493,0,,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:10.766195
Обширен тристаен в Яворов,/obshiren-tristaen-v-yavorov-10734597,"Яворов, София",Цена:390 000 €(762 773.70 лв.),Тристаен апартамент в Яворов,103 кв.м,Тухла,1968 г.,2 етаж,"Просторен тристаен апартамент с четири самостоятелни помещения, високи тавани и разположение в паркова среда в кв. Яворов архитектурен резерват, защитен от ЮНЕСКО. 
Апартаментът е с чиста площ по док..",Rossy Yordan,10734597,0,3786.41,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:10.770401
"Продава четиристаен апартамент в ж.к. ”Изток”, гр. София",/prodava-chetiristaen-apartament-v-j-k-iztok-gr-sofiya-10690346,"Изток, София",Цена:465 480 €(910 399.75 лв.),Многостаен апартамент в Изток,103 кв.м,ЕПК/ПК,1985 г.,2 етаж,"Просторен четиристаен апартамент в ж.к. „Изгрев“, София
„БУЛГАРИ КОНСУЛТ“ ООД има удоволствието да Ви представи просторен четиристаен апартамент с изключителна локация - в един от най-предпочитаните ..",БУЛГАРИ КОНСУЛН ЕООД,10690346,0,4519.22,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:10.774604
Многостаен Оборище,/mnogostaen-oborishte-9486619,"Оборище, София",Цена:450 000 €(880 123.50 лв.),Многостаен апартамент в Оборище,120 кв.м,Тухла,1960 г.,5 етаж,"Титан Пропъртис - офис бул. България има удоволствието да ви престави многостаен апартамент, в един от най - предпочитаните райони на град София, а именно район Оборище - комуникативно място, в близос..",Титан Пропъртис,9486619,0,3750.0,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:10.779056
"Продава 3-СТАЕН апартамент, гр. София, кв. Дианабад",/prodava-3-staen-apartament-gr-sofiya-kv-dianabad-10798777,"Дианабад, София",Цена:340 000 €(664 982.20 лв.),Тристаен апартамент в Дианабад,100 кв.м,Панел,1985 г.,2 етаж,"Описание на имота: 

Скъпи клиенти и колеги

Агенция Емпайър Естейт Билдинг ви представя просторен тристаен апартамент в един от най-предпочитаните и уредени квартали на София кв. Дианабад. 

Им..",ЕМПАЙЪР ЕСТЕЙТ БИЛДИНГ,10798777,0,3400.0,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:10.783230
"Продава 2-СТАЕН апартамент, гр. София, кв. Гоце Делчев",/prodava-2-staen-apartament-gr-sofiya-kv-goce-delchev-10798764,"Гоце Делчев, София",Цена:220 000 €(430 282.60 лв.),Двустаен апартамент в Гоце Делчев,69 кв.м,Тухла,2024 г.,3 етаж,"Описание на имота: 

Скъпи клиенти и колеги

Агенция Емпайър Естейт Билдинг има удоволствието да ви представи изключителен тристаен апартамент в емблематичната бутикова сграда The New Building, ра..",ЕМПАЙЪР ЕСТЕЙТ БИЛДИНГ,10798764,0,3188.41,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:10.787412
Просторен тристаен апартамент в гоце Делчев с АКТ 16!!!,/prostoren-tristaen-apartament-v-goce-delchev-s-akt-16-10798730,"Гоце Делчев, София",Цена:391 800 €(766 294.20 лв.),Тристаен апартамент в Гоце Делчев,135 кв.м,Тухла,2025 г.,4 етаж,"С АКТ 16!!! 

ИРИДА НЕДВИЖИМИ ИМОТИ продава тристаен апартамент в бутикова сграда с изключително висококачествено строителство в близост до Мол България, магазин Била и транспортни връзки! 

Жилищ..",ИРИДА НЕДВИЖИМИ ИМОТИ,10798730,0,2902.22,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:10.791699
Тристаен апартамент в Гоце Делчев с тераса 20кв.м. АКТ 16!!!,/tristaen-apartament-v-goce-delchev-s-terasa-20kv-m-akt-16-10798729,"Гоце Делчев, София",Цена:318 900 €(623 714.20 лв.),Тристаен апартамент в Гоце Делчев,110 кв.м,Тухла,2025 г.,7 етаж,"С АКТ 16!!! 

ИРИДА НЕДВИЖИМИ ИМОТИ продава тристаен апартамент в бутикова сграда с изключително висококачествено строителство в близост до Мол България, магазин Била и транспортни връзки! 

Жилищ..",ИРИДА НЕДВИЖИМИ ИМОТИ,10798729,0,2899.09,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:10.796031
Двустаен апартамент в кв. Оборище,/dvustaen-apartament-v-kv-oborishte-10798716,"Оборище, София",Цена:320 000 €(625 865.60 лв.),Двустаен апартамент в Оборище,74 кв.м,Тухла,2008 г.,5 етаж,"ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба двустаен апартамент в квартал Оборище. 
Жилището с площ от / 68.05 кв.м. / Разположен на пети жилищен етаж от девет. В непосредствена близост до детски г..",ИРИДА НЕДВИЖИМИ ИМОТИ,10798716,0,4324.32,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:10.800332
Двустаен апартамент в ж.к. Сухата река,/dvustaen-apartament-v-j-k-suhata-reka-10754368,"Сухата река, София",Цена:150 000 €(293 374.50 лв.),Двустаен апартамент в Сухата река,62 кв.м,ЕПК/ПК,1985 г.,10 етаж,"Референтен номер: 2098010

Революшън Естейт представя Двустаен апартамент в ж.к. Сухата река. 

- Етаж: 10-ти от 14-ти. 
- Площ: 62 кв.м. 
- Разпределение: Входно антре, кухня, хол, преходна спа..",Революшън Естейт България ООД,10754368,0,2419.35,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:10.804850
"Обзаведен 3-стаен апартамент за ПРОДАЖБА, жк. Дианабад",/obzaveden-3-staen-apartament-za-prodajba-jk-dianabad-10680945,"Дианабад, София",Цена:305 000 €(596 528.15 лв.),Тристаен апартамент в Дианабад,90 кв.м,Панел,1960 г.,3 етаж,"Продаваме отремонтиран, цялостно обновен и обзаведен 3-стаен апартамент до ул. Крум Кюлявков, бул. д-р Г. М. Димитров, супермаркет BILLA и метростанцията на кръстовището на бул. Драган Цанков и бул. Г..",Еколит,10680945,0,3388.89,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:10.809355
"Двустаен Апартамент в Борово, София",/dvustaen-apartament-v-borovo-sofiya-10796013,"Борово, София",Цена:178 000 €(348 137.74 лв.),Двустаен апартамент в Борово,61 кв.м,Панел,1989 г.,,"Реф. № 012698

Агенция за недвижими имоти BAS Properties предлага за продажба светъл и просторен двустаен апартамент в кв. Борово, гр. София. Имотът е с южно изложение, което осигурява много естеств..",BASProperties,10796013,0,2918.03,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:10.813606
Двустаен апартамент - Докторски паметник,/dvustaen-apartament-doktorski-pametnik-10764405,"Оборище, София",Цена:289 000 €(565 234.87 лв.),Двустаен апартамент в Оборище,40 кв.м,Тухла,1970 г.,1 етаж,"От собственик. 
Продавам двустаен апартамент в кв. Докторски паметник, непосредствено до Докторска градина. Бул. Янко Сакъзов 38, ет 1 от 5. Площ по нотариален акт - 40кв. м",преди 30+ дни,10764405,0,7225.0,0,,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:08:10.817709
